date,2008 financial crisis,blizzard,China unemployment rate,climate change,cold wave,cold,cyclone,damp,drought,dry,Ebola outbreak,Ebola virus,Ebola,economic crisis,economic recession,financial crisis,Flood,forest fire,frost,global warming,gust,hail,heat wave,heavy rain,high temperature,terrorist attack,Libyan crisis,Middle East war,mountain fire,natural disasters,oil crisis,oil stocks,pest,pests and diseases,rain,rainfall,snow,storm,strong wind,Syria war,terrorism,terrorist attack,tornado,typhoon,Unemployment benefits,unemployment rate,unemployment
2010/1/9,0,29,0,43,0,100,29,0,22,98,0,30,22,19,42,25,10,0,54,51,50,25,8,5,29,38,0,74,58,9,0,0,11,0,53,6,45,15,0,0,72,38,3,39,8,48,23
2010/1/10,60,26,0,36,0,98,26,16,22,99,73,61,44,15,0,72,10,0,67,70,0,22,5,4,47,24,0,38,54,24,0,58,10,0,59,8,36,14,0,0,33,24,5,15,38,37,73
2010/1/11,41,25,0,51,49,96,29,22,17,92,0,21,20,17,15,62,11,6,62,79,35,21,4,10,48,32,0,26,29,20,30,0,28,31,50,11,29,12,31,0,67,32,5,17,36,61,64
2010/1/12,0,24,0,50,0,82,31,16,25,87,0,31,44,16,14,30,14,9,61,63,17,23,3,5,63,47,0,38,57,23,0,25,32,0,47,15,29,12,30,0,42,47,6,23,27,36,46
2010/1/13,40,17,0,65,48,77,31,58,17,83,0,20,15,26,15,100,16,3,62,61,34,27,9,10,59,26,0,0,47,87,19,26,32,0,43,20,24,12,0,0,54,26,6,39,25,51,39
2010/1/14,0,18,0,81,48,70,29,27,20,81,0,0,20,10,15,88,14,7,57,56,69,24,7,12,44,53,0,0,36,99,20,26,34,0,48,22,26,11,30,0,61,53,5,27,23,53,34
2010/1/15,0,21,0,51,0,64,33,33,26,73,0,21,36,17,31,50,14,8,50,50,27,28,7,9,45,39,0,0,34,58,21,27,37,32,55,20,25,13,0,0,66,39,6,41,19,42,34
2010/1/16,0,18,0,27,0,70,25,15,34,84,0,90,36,29,0,32,12,2,53,26,25,28,10,5,23,47,0,0,74,81,0,75,19,0,48,6,24,13,0,0,43,47,6,18,13,24,21
2010/1/17,59,25,0,25,0,72,13,39,20,91,0,30,0,10,0,19,9,4,66,23,50,37,5,9,47,23,0,37,75,53,0,0,11,0,70,21,27,15,45,0,48,23,4,52,38,25,66
2010/1/18,0,21,0,48,0,66,25,18,32,100,0,46,55,18,49,29,15,5,58,36,58,22,4,13,40,29,0,0,36,29,0,87,44,0,73,30,27,15,0,0,45,29,5,37,31,30,53
2010/1/19,0,18,0,62,0,65,34,26,36,84,48,20,34,13,14,30,21,7,68,45,17,32,7,5,46,26,0,50,14,73,19,25,52,0,78,68,24,14,30,0,44,26,66,49,28,41,52
2010/1/20,0,20,0,68,0,66,28,46,31,78,0,0,38,22,14,46,20,4,54,44,33,39,3,7,42,31,0,49,35,85,19,0,33,30,86,73,27,16,29,45,44,31,62,32,25,49,44
2010/1/21,79,20,34,75,0,67,21,26,33,81,0,61,20,13,29,81,23,3,58,53,25,42,3,12,46,21,0,0,25,67,0,0,36,0,100,100,24,17,0,0,61,21,33,26,23,53,39
2010/1/22,0,21,0,28,0,61,16,16,27,72,0,94,35,13,15,22,20,9,56,40,53,51,5,7,52,32,0,39,37,73,20,26,24,32,89,90,28,16,62,0,41,32,41,40,21,75,39
2010/1/23,0,27,0,24,0,66,39,75,26,79,0,29,21,23,21,25,13,4,53,28,24,36,7,8,28,68,0,36,56,42,0,37,28,0,69,37,30,14,43,0,33,68,19,23,13,46,24
2010/1/24,0,26,0,32,0,74,39,38,26,80,0,29,28,9,21,25,13,0,56,29,49,23,10,16,23,46,0,0,52,51,0,37,28,0,67,24,24,15,43,0,27,46,17,33,41,36,68
2010/1/25,0,19,0,72,47,65,24,10,31,80,0,30,29,22,100,42,21,3,52,45,59,23,7,9,35,15,0,25,42,57,57,25,30,0,71,43,24,13,29,0,56,15,11,22,35,36,65
2010/1/26,0,22,33,39,0,63,25,20,32,77,0,20,38,32,14,38,15,7,52,48,58,24,7,14,61,20,44,24,52,60,0,50,40,30,63,30,23,12,0,0,69,20,7,40,30,53,46
2010/1/27,0,18,0,40,0,64,40,36,28,76,0,50,43,22,42,51,15,8,61,54,25,32,5,6,57,20,22,0,42,35,0,25,32,0,59,26,23,13,0,0,55,20,7,34,20,57,41
2010/1/28,0,18,0,74,0,66,27,26,18,66,0,40,29,13,0,47,14,4,62,57,59,25,5,10,58,52,22,25,70,64,0,38,27,0,58,27,29,12,0,0,62,52,6,26,24,61,37
2010/1/29,0,16,0,62,0,69,30,27,29,87,0,21,35,23,22,40,14,6,58,40,43,37,4,9,40,32,0,0,37,33,0,39,46,31,56,21,31,15,31,0,66,32,7,31,25,52,35
2010/1/30,0,27,0,23,0,80,18,29,21,88,0,28,34,9,40,24,10,2,54,28,24,20,5,7,16,15,0,0,54,54,27,35,32,0,64,14,52,16,41,0,28,15,5,25,12,35,23
2010/1/31,0,25,0,50,0,84,24,30,30,90,0,29,28,19,21,18,9,6,59,41,48,32,7,8,28,22,0,0,30,14,0,36,9,0,59,18,42,15,0,0,37,22,6,35,39,24,67
