cat,date,gprop,2008 financial crisis,natural disasters,China unemployment rate,Middle East war,gust,rain,Syria war,snow,typhoon,oil crisis,oil stocks,unemployment rate,Unemployment benefits,unemployment,mountain fire,forest fire,heat wave,global warming,strong wind,cyclone,climate change,tornado,Libyan crisis,terrorism,terrorist attack,hurricane,economic crisis,economic recession,financial crisis,rainfall,Flood,cold,cold wave,pest,high temperature,dry,drought,frost,heavy rain,damp,pests and diseases,hail,storm,Ebola,blizzard
0,2010/1/11,,33,34,39,17,36,48,40,44,59,38,36,66,38,81,70,11,52,56,35,16,36,10,0,81,8,47,27,69,22,25,19,88,100,55,69,94,38,69,7,80,30,30,24,48,38
0,2010/1/12,,39,41,57,32,44,48,0,37,71,29,23,54,28,55,56,11,60,57,23,16,33,14,0,77,6,48,30,47,30,30,21,78,29,54,68,93,34,67,6,67,0,35,23,44,39
0,2010/1/13,,39,80,39,24,59,46,78,42,71,12,17,55,27,48,67,8,37,54,46,20,36,12,0,75,7,60,27,52,35,33,19,71,39,59,71,87,39,69,7,69,0,28,23,51,33
0,2010/1/14,,40,100,40,17,58,48,40,34,71,13,18,55,23,45,66,10,47,54,35,18,38,12,0,78,10,63,22,40,34,28,21,65,60,59,52,90,25,65,7,81,30,29,23,50,31
0,2010/1/15,,21,75,41,17,47,51,0,31,62,27,28,46,20,39,67,5,34,50,0,16,28,10,0,72,9,64,21,50,31,27,22,64,63,54,59,86,32,63,10,53,28,32,23,56,37
0,2010/1/16,,77,85,51,21,55,55,0,30,74,16,23,31,12,26,74,5,30,34,30,16,18,13,0,54,4,51,15,31,24,21,19,68,26,45,61,89,28,69,9,52,51,32,26,43,37
0,2010/1/17,,50,67,0,21,34,60,0,32,83,24,22,35,35,75,67,7,29,42,30,17,25,15,0,70,3,57,28,60,23,25,18,67,25,45,48,87,25,68,11,89,25,28,26,42,38
0,2010/1/18,,40,79,39,16,47,57,39,31,80,19,53,40,32,65,78,5,40,51,46,18,32,12,0,61,5,48,18,32,21,45,21,66,20,61,64,91,33,70,9,81,0,24,25,63,31
0,2010/1/19,,0,87,38,24,53,60,0,29,76,37,61,56,30,65,73,15,26,50,23,18,34,68,0,59,4,60,24,68,20,65,27,62,0,61,73,90,48,66,8,78,39,28,25,71,35
0,2010/1/20,,26,73,76,16,38,64,40,28,84,25,18,61,28,60,69,6,32,49,46,18,32,62,0,83,2,50,25,47,24,71,29,63,59,61,53,86,42,65,9,76,20,36,25,53,34
0,2010/1/21,,26,54,0,16,45,69,0,28,78,21,53,62,22,50,72,9,23,50,93,19,34,38,0,75,7,59,25,32,26,100,28,65,20,56,69,83,45,66,10,89,20,42,26,72,38
0,2010/1/22,,28,47,41,17,44,65,41,30,70,26,43,70,21,47,66,5,30,42,73,22,25,43,0,70,7,50,45,44,16,91,25,61,52,50,77,84,39,62,11,68,21,56,27,77,31
0,2010/1/23,,26,64,50,0,42,62,0,31,91,16,46,40,14,27,62,8,22,33,30,35,20,24,0,66,10,50,12,34,17,50,21,63,64,40,38,87,34,64,8,83,26,41,27,50,45
0,2010/1/24,,25,50,0,20,41,63,0,30,98,16,22,36,39,73,74,7,29,39,29,33,25,19,0,73,6,53,21,60,26,35,21,67,25,38,44,80,37,68,14,72,0,30,26,64,37
0,2010/1/25,,38,67,37,16,43,59,38,28,62,20,26,50,38,80,61,4,34,47,0,13,33,17,0,72,5,57,24,67,23,49,26,62,38,57,56,92,26,63,10,85,0,25,24,48,39
0,2010/1/26,,19,68,0,32,52,54,0,28,66,0,34,62,29,60,62,12,14,49,30,15,32,13,0,66,3,50,20,57,27,42,23,64,39,56,59,81,44,65,11,71,0,30,23,56,30
0,2010/1/27,,19,47,38,0,55,51,0,27,76,16,61,61,25,50,79,9,51,50,30,19,34,13,0,67,4,54,39,41,20,37,23,64,19,58,81,86,40,66,12,66,19,31,23,50,32
0,2010/1/28,,39,64,0,32,59,51,39,28,63,21,35,70,25,47,84,8,14,53,46,23,36,13,0,65,4,47,30,31,20,37,25,59,20,57,64,83,37,59,14,73,20,31,25,59,37
0,2010/1/29,,21,28,0,17,34,54,0,34,63,26,49,42,21,45,48,8,18,47,32,23,32,13,0,71,3,46,27,38,15,29,23,66,21,59,62,88,39,64,13,58,21,37,26,66,33
0,2010/1/30,,25,33,49,0,53,58,0,45,73,16,23,37,13,30,58,4,26,33,30,20,19,11,0,48,5,40,19,34,15,23,17,67,25,32,43,92,29,69,14,49,25,26,28,47,40
0,2010/1/31,,25,36,48,40,22,56,0,38,66,31,22,46,36,73,73,12,25,37,0,22,28,11,0,58,6,48,22,59,18,26,18,71,0,46,36,87,36,67,13,86,33,29,27,56,43
